id	app_type_id	parent_skill_id	creator_id	skill_icon	skill_picture_url	title	description	created_date	updated_date	level_id	privacy	order	status	rand
500010	5	500001	14	231	sushi_making_1.png	Sushi Making	Showing my friend how to make sushi from scratch	2014-12-28 08:28:54	2016-02-09 07:08:07	13	0	1	0	0.243875111
2084	1	\N	14	222	skill_default.png	Improving Excel skills. Advanced features 	How I can use and integrate it to help in my data science field of study.	2014-10-01 08:07:44	2016-01-25 18:21:10	2	0	1	0	0.160620561
2080	1	\N	14	166	skill_default.png	Sushi Making	I have gained some skill of making sushi from scratch. I continue to improve by reading from different recipes.	2014-05-16 04:01:55	2016-01-09 07:37:38	1	0	1	0	0.087366193
500000	5	\N	7	207	bread_making_1.png	Bread Making	What can you make with your new bread making machine	2014-10-29 11:11:28	2016-01-07 05:57:33	13	0	1	0	0.057252802
2088	1	\N	4	231	skill_default.png	"Cooking, Grilling, Braaing "	"I have mastered making pork ribs and steak on the grill. Moreover, cooking a meal for my wife"	2014-09-20 19:36:29	2016-01-27 20:31:29	1	0	1	0	0.844069705
2076	1	\N	4	158	skill_default.png	Career Advice	"Communication skills, Listening well to a candidate, Providing constructive feedback. Recruited back in the days"	2014-04-06 21:04:54	2016-02-03 02:38:07	1	0	1	0	0.883046358
500006	5	500002	3	17	mentorship_default.png	Organizing your kitchen area	Have your kitchen in order. The kitchen gets used more often than most other areas.	2014-01-05 13:46:25	2016-01-24 03:55:00	14	0	1	1	0.035848313
2092	1	\N	3	72	skill_default.png	Conversation starter -Communications Skills	Starting a conversation with anyone in dfferent environment. Making someones day.	2014-09-20 08:51:04	2016-01-08 16:00:12	1	0	1	0	0.409188026
2077	1	\N	3	47	skill_default.png	Fashion Advice	"Advising on how to dress well, being a gentleman, clothes shopping and lots of savings"	2014-12-19 06:24:29	2016-01-06 17:34:31	1	0	1	0	0.898809474
500002	5	\N	3	195	mentorship_default.png	Organizing your kitchen area	Have your kitchen in order. The kitchen gets used more often than most other areas.	2014-06-07 00:50:59	2016-01-06 12:03:45	14	0	1	1	0.744843989
2074	1	\N	2	108	skill_default.png	Swimming	I can\'t imagine that I don\'t know how to swim. I am in California. Need help to start	2014-06-01 00:45:04	2016-01-29 02:56:33	3	0	1	0	0.68882798
2083	1	\N	2	207	skill_default.png	"Ms Powerpoint: designing icons, greeting cards and creative Powerpoints"	"To some, Photoshop is a default program to go when designing, but if you know deep MS PowerPoint features, you can  d wonderful things design. I have gained a huge amount of designing experience using MS PowerPoint and would like to share my random skills I have used in PowerPoint. Note, almost all the default customised pictures and icons in this application were made using MS PowerPoint."	2014-09-13 17:45:36	2016-01-08 07:26:41	3	0	1	0	0.681349871
2085	1	\N	2	153	skill_default.png	Teamwork	I think I have gained some experience of being a good teammate. Open to new ideas from another teammate is the best thing of how to learn. But I want to continue improving this skill	2014-09-19 06:50:59	2016-01-15 07:17:37	2	0	1	0	0.155478804
2087	1	\N	2	153	skill_default.png	Advising People	Want to improve on how I communicate with others. Not to overwhelm them when giving them advice.	2014-07-16 00:26:38	2016-01-08 03:33:42	2	0	1	0	0.672411937
2089	1	\N	2	71	skill_default.png	Games - Boggle	It is an intersting game to learn because it will improve my vocabulary.	2014-04-26 19:04:22	2016-01-03 05:29:37	2	0	1	0	0.680094858
2075	1	2092	2	240	skill_default.png	Communication Skills - Speaking Clearly	Improve how I speak English. Having more American accent might be desirable. Speaking clearly slowly and audible. Sometimes people have some hard times understanding me.	2014-02-22 20:45:19	2016-01-07 16:36:55	2	0	1	0	0.285007225
2078	1	\N	2	45	skill_default.png	Adventurous	Being creative when going out whether with friends and family or on dates. 	2014-06-17 02:52:13	2016-01-01 09:34:51	3	0	1	0	0.368307197
2079	1	\N	2	70	skill_default.png	Handling a job Interview	Sometimes gets nervous for no reason. Then not selling my skills correctly.	2014-07-14 09:51:24	2016-01-25 06:49:15	2	0	1	0	0.359141627
500001	5	2080	2	250	sushi_making_1.png	Sushi Making	Beginners guide to making sushi from scratch	2014-03-30 01:49:44	2016-01-24 05:10:54	14	0	1	0	0.119117254
500003	5	\N	2	234	career_path_1.png	Career Path (Me in 5 years)	Career Planning	2014-05-13 13:46:51	2016-01-28 21:21:01	16	0	1	0	0.297358505
500004	5	500001	2	252	sushi_making_1.png	Sushi Making	Beginners guide to making sushi from scratch	2014-09-26 10:33:45	2016-01-30 18:33:33	14	0	1	0	0.807788336
500005	5	500003	2	129	career_path_1.png	Career Path (Me in 5 years)	Career Planning	2014-01-15 11:31:29	2016-01-14 09:00:09	16	0	1	0	0.932404757
500007	5	500003	2	226	career_path_1.png	Career Path (Me in 5 years)	Career Planning	2014-10-23 16:55:29	2016-01-26 09:42:20	16	0	1	0	0.114086423
500008	5	\N	2	194	apartment_decoration_1.png	Apartment Decoration Ideas	Mi casa es su casa. How to  make my apartment awesome	2014-06-13 01:08:50	2016-02-03 03:10:57	13	0	1	0	0.423149974
500009	5	\N	2	205	web_dev_1.png	"Web Design & Development (tools to use, advice, introduction)"	"From scratch, what tools to use"	2014-02-16 12:35:08	2016-01-26 16:17:37	13	0	1	0	0.842704032
2086	1	\N	2	212	skill_default.png	Games - Chess	"I am not a grandmaster, but for now I am comfortable where I stand. "	2014-07-21 22:03:48	2016-01-09 06:03:53	1	0	1	0	0.692143521
2082	1	\N	2	17	skill_default.png	Tell a Story that Captivates People\'s Attention	"Everyone has a cool story to tell, but have to work on the delivery and right audience."	2014-06-19 17:10:28	2016-01-19 08:16:57	2	0	1	0	0.526031583
