id	app_type_id	template_type_id	creator_id	explorer_picture_url	title	description	created_date	updated_date	level_id	privacy	order	status	list_type	rand																										
12000	2	7002	2	communication.jpg	Communication Skills	Mastering communication skills	14-09-20 08:51:01	16-04-03 16:00:03	2	10001	1	0	1	0.409188026																										
100011001	2	7001	2	apartment-1.jpg	Keeping my apartment clean all the time.	"I have had some surprise visits. I can imagine if I can either clean so fast that by the time the visitor arrives, it will be as clean to be mi casa es su casa. Or having a habit to keep it clean all the time."	14-12-07 03:43:00	16-04-03 15:15:00	2	10001	1	0	1	0.319441808																										
105010004	6	7001	18	spanish.jpg	Learning Spanish		14-02-17 21:13:14	16-04-02 18:42:40	13	10001	1	0		0.479224207																										
108000201	9	7001	4	800201.png	Career Advice	"Communication skills, Listening well to a candidate, Providing constructive feedback. Recruited back in the days"	14-04-06 21:04:00	16-04-01 02:38:00	1	10001	1	0	1	0.883046358																										
100010001	2	7001	2	spanish.jpg	Learn Spanish		14-02-17 21:13:19	16-04-01 02:37:00	3	10001	1	0	1	0.479224207																										
5000010	6	7002	1	500010.png	Sushi Making	Showing my friend how to make sushi from scratch	14-12-28 08:28:00	16-04-01 01:08:00	13	10002	1	0		0.243875111																										
100012009	2	7001	1	2092.png	Small Talks	"Small talks with stangers, anywhere in dfferent environment and scenario. "	14-09-20 08:51:01	16-03-08 16:00:04	1	10002	1	0		0.409188026																										
100002077	2	7001	2	fashion.jpg	Fashion Advice	"Advising on how to dress well, being a gentleman, clothes shopping and lots of savings"	14-12-19 06:24:00	16-03-06 17:34:00	1	10001	1	0	1	0.898809474																										
2061	2	7002	1	fashion.jpg	Fashion Advice	"Advising on how to dress well, being a gentleman, clothes shopping and lots of savings"	14-12-19 06:24:00	16-03-06 17:34:00	1	10002	1	0		0.898809474																										
100012000	2	7001	2	communication.jpg	Communication Skills	Mastering communication skills	14-09-20 08:51:01	16-03-03 16:00:03	2	10001	1	0		0.409188026																										
11000	2	7002	2	apartment.jpg	Organizing my apartment	"I have had some surprise visits. I can imagine if I can either clean so fast that by the time the visitor arrives, it will be as clean to be mi casa es su casa. Or having a habit to keep it clean all the time."	14-12-07 03:43:00	16-03-03 15:15:00	2	10001	1	0		0.319441808																										
11001	2	7002	2	apartment.jpg	Keeping my apartment clean all the time.	"I have had some surprise visits. I can imagine if I can either clean so fast that by the time the visitor arrives, it will be as clean to be mi casa es su casa. Or having a habit to keep it clean all the time."	14-12-07 03:43:00	16-03-03 15:15:00	2	10001	1	0		0.319441808																										
15000	2	7002	1	default.png	Leadership		14-02-17 21:13:00	16-03-03 10:27:39	3	10002	1	0	1	0.479224207																										
100015000	2	7001	1	default.png	Leadership		14-02-17 21:13:00	16-03-03 10:27:39	3	10002	1	0		0.479224207																										
100014000	2	7001	1	default.png	Accent reduction		14-02-17 21:13:03	16-03-01 10:27:30	3	10002	1	0		0.479224207																										
100002081	2	7001	2	2081.png	Drawing	I used to like drawing with pencil and paper but somehow stopped.	14-11-23 15:29:00	16-03-01 02:45:00	2	10001	1	0		0.272543318																										
100002080	2	7001	2	2080.png	Sushi Making	I have gained some skill of making sushi from scratch. I continue to improve by reading from different recipes.	14-05-16 04:01:00	16-03-01 01:37:00	1	10001	1	0		0.087366193																										
