id	name	description	type
1	fa-anchor		1
2	fa-balance-scale		1
3	fa-bicycle		1
4	fa-binoculars		1
5	fa-book		1
6	fa-briefcase		1
7	fa-building		1
8	fa-camera		1
9	fa-car		1
10	fa-code		1
11	fa-cutlery		1
12	fa-desktop		1
13	fa-fighter-jet		1
14	fa-film		1
15	fa-futbol-o		1
16	fa-gavel		1
17	fa-heart-o		1
18	fa-microphone		1
19	fa-music		1
20	fa-plane		1
21	fa-rocket		1
22	fa-ship		1
23	fa-taxi		1
24	fa-truck		1
25	fa-university		1
26	fa-video-camera		1
27	fa-wrench		1
28	icon-accessibility		1
29	icon-address-book		1
30	icon-aid-kit		1
31	icon-aids		1
32	icon-airplane		1
33	icon-alarm		1
34	icon-attachment		1
35	icon-auction		1
36	icon-barcode		1
37	icon-baseball		1
38	icon-basecamp		1
39	icon-bell		1
40	icon-bike		1
41	icon-bike2		1
42	icon-bike3		1
43	icon-bin		1
44	icon-bin2		1
45	icon-binoculars		1
46	icon-blog		1
47	icon-blogger		1
48	icon-blogger2		1
49	icon-book		1
50	icon-book2		1
51	icon-bookmark		1
52	icon-bookmarks		1
53	icon-books		1
54	icon-bowling		1
55	icon-bowlingpin		1
56	icon-briefcase		1
57	icon-brightness-contrast		1
58	icon-brush		1
59	icon-bug		1
60	icon-bullhorn		1
61	icon-bus		1
62	icon-cabinet		1
63	icon-cabinet2		1
64	icon-calculator		1
65	icon-calendar		1
66	icon-camera2		1
67	icon-car		1
68	icon-cart		1
69	icon-chat		1
70	icon-chat2		1
71	icon-clock		1
72	icon-clock2		1
73	icon-cloud		1
74	icon-clubs		1
75	icon-coffee		1
76	icon-coin-dollar		1
77	icon-coin-euro		1
78	icon-coin-pound		1
79	icon-coins		1
80	icon-coin-yen		1
81	icon-compass		1
82	icon-compass2		1
83	icon-compass3		1
84	icon-credit-card		1
85	icon-css3		1
86	icon-database		1
87	icon-delicious		1
88	icon-diamonds		1
89	icon-dice		1
90	icon-display		1
91	icon-dollar		1
92	icon-drawer		1
93	icon-drawer2		1
94	icon-dribbble		1
95	icon-drink		1
96	icon-drink2		1
97	icon-drive		1
98	icon-earth		1
99	icon-edge		1
100	icon-eightball		1
101	icon-ello		1
102	icon-embed		1
103	icon-embed2		1
104	icon-envelop		1
105	icon-equalizer		1
106	icon-equalizer2		1
107	icon-eye		1
108	icon-eyedropper		1
109	icon-female		1
110	icon-file-excel		1
111	icon-file-openoffice		1
112	icon-file-pdf		1
113	icon-file-word		1
114	icon-film		1
115	icon-fire		1
116	icon-flag		1
117	icon-floppy-disk		1
118	icon-font		1
119	icon-football		1
120	icon-gamepad		1
121	icon-gift		1
122	icon-git		1
123	icon-glass		1
124	icon-glass2		1
125	icon-global		1
126	icon-globe		1
127	icon-graduate		1
128	icon-hackernews		1
129	icon-hammer		1
130	icon-hammer2		1
131	icon-headphones		1
132	icon-health		1
133	icon-heart		1
134	icon-history		1
135	icon-hotairballoon		1
136	icon-hour-glass		1
137	icon-html-five		1
138	icon-html-five2		1
139	icon-icecream		1
140	icon-key		1
141	icon-key2		1
142	icon-keyboard		1
143	icon-lab		1
144	icon-lab2		1
145	icon-lamp		1
146	icon-lanyrd		1
147	icon-laptop		1
148	icon-lastfm		1
149	icon-lastfm2		1
150	icon-leaf		1
151	icon-library		1
152	icon-libreoffice		1
