id	parent_activity_id	creator_id	title	description	created_at	updated_at	importance	status	rand
1	NULL	3	Body Language Observation		14-10-01 08:07:5195	16-01-25 18:21:5195	1	0	0.287951022
2	1	3	Spot a conversation across a room or on the television with volume turned down or in a crowded area		14-10-01 08:07:01	16-01-25 18:21:01	1	0	0.001950009
3	1	3	"Note how facial expressions, gestures, body movements, posture, and eye contact or lack of it reveal."		14-10-01 08:07:02	16-01-25 18:21:02	1	0	0.883300935
4	1	3	Guess what the speakers may be saying or talking about		14-10-01 08:07:03	16-01-25 18:21:03	1	0	0.451614268
100	NULL	5	Listening Observation		14-10-01 08:07:5204	16-01-25 18:21:5204	1	0	0.730385402
101	100	5	Listen closely to someone you cannot see. i.e. on the radio or a telephone caller		14-10-01 08:07:05	16-01-25 18:21:05	1	0	0.590052995
102	100	5	Analyze the person's manner of speaking		14-10-01 08:07:06	16-01-25 18:21:06	1	0	0.547632713
103	100	5	Do this activity in different languages and settings		14-10-01 08:07:06	16-01-25 18:21:06	1	0	0.651016296
104	100	5	Compare the differences among them.		14-10-01 08:07:07	16-01-25 18:21:07	1	0	0.139670819
200	NULL	7	Listening Skills		14-10-01 08:07:5213	16-01-25 18:21:5213	1	0	0.917824262
201	200	7	Ask something you know like directions to a place you know how to get to.		14-10-01 08:07:09	16-01-25 18:21:09	1	0	0.277264564
202	200	7	Then ask for directions to an unfamiliar place.		14-10-01 08:07:10	16-01-25 18:21:10	1	0	0.005181257
300	NULL	2	Conversation Listening Skills		14-10-01 08:07:5222	16-01-25 18:21:5222	1	0	0.298425208
301	300	2	Have a normal conversation with someone.		14-10-01 08:07:12	16-01-25 18:21:12	1	0	0.807666945
302	300	2	Analyze what went wrong when you miss part of what they said		14-10-01 08:07:13	16-01-25 18:21:13	1	0	0.417552239
1000	NULL	2	My Common Words 1		14-10-01 08:07:5231	16-01-25 18:21:5231	1	0	0.054552917
1001	1000	2	to drink	beber 	14-10-01 08:07:101	16-01-25 18:21:101	1	0	0.249844299
1002	1000	2	"your, her, his, their"	su 	14-10-01 08:07:18	16-01-25 18:21:18	1	0	0.012272271
1003	1000	2	good	bueno 	14-10-01 08:07:16	16-01-25 18:21:16	1	0	0.029973636
1004	1000	2	"to owe, should"	deber 	14-10-01 08:07:209	16-01-25 18:21:209	1	0	0.612377844
1005	1000	2	"to believe, to think"	creer 	14-10-01 08:07:105	16-01-25 18:21:105	1	0	0.047231279
1006	1000	2	sad	triste 	14-10-01 08:07:99	16-01-25 18:21:99	1	0	0.051146415
1007	1000	2	first	primero 	14-10-01 08:07:88	16-01-25 18:21:88	1	0	0.748316917
1008	1000	2	"that, what"	"que, qué "	14-10-01 08:07:28	16-01-25 18:21:28	1	0	0.104231952
1009	1000	2	"to do, to make"	hacer 	14-10-01 08:07:200	16-01-25 18:21:200	1	0	0.400824114
1010	1000	2	from	desde 	14-10-01 08:07:83	16-01-25 18:21:83	1	0	0.030274197
1011	1000	2	friend	amigo 	14-10-01 08:07:79	16-01-25 18:21:79	1	0	0.001043272
1012	1000	2	"a, one"	"un, uno, una "	14-10-01 08:07:128	16-01-25 18:21:128	1	0	0.685484246
1013	1000	2	to know	conocer 	14-10-01 08:07:87	16-01-25 18:21:87	1	0	0.154745562
1014	1000	2	to find	encontrar 	14-10-01 08:07:106	16-01-25 18:21:106	1	0	0.164714766
1015	1000	2	to eat	comer 	14-10-01 08:07:236	16-01-25 18:21:236	1	0	0.394606928
1016	1000	2	"over, about"	sobre 	14-10-01 08:07:90	16-01-25 18:21:90	1	0	0.189911062
1017	1000	2	without	sin 	14-10-01 08:07:92	16-01-25 18:21:92	1	0	0.190065605
1018	1000	2	new	nuevo 	14-10-01 08:07:43	16-01-25 18:21:43	1	0	0.871187653
1019	1000	2	to understand	entender 	14-10-01 08:07:29	16-01-25 18:21:29	1	0	0.391292693
1020	1000	2	bad	"malo, mal "	14-10-01 08:07:74	16-01-25 18:21:74	1	0	0.202479052
1021	1000	2	"all, every"	todo 	14-10-01 08:07:60	16-01-25 18:21:60	1	0	0.204971484
1022	1000	2	thing	cosa 	14-10-01 08:07:85	16-01-25 18:21:85	1	0	0.226529091
1023	1000	2	"here, there"	"aquí, allí "	14-10-01 08:07:39	16-01-25 18:21:39	1	0	0.228407559
1024	1000	2	to think	pensar 	14-10-01 08:07:75	16-01-25 18:21:75	1	0	0.236929411
1025	1000	2	who	quién 	14-10-01 08:07:92	16-01-25 18:21:92	1	0	0.275206531
1026	1000	2	happy	feliz 	14-10-01 08:07:59	16-01-25 18:21:59	1	0	0.255095218
1027	1000	2	to put	poner 	14-10-01 08:07:45	16-01-25 18:21:45	1	0	0.279595345
1028	1000	2	"of, from"	de 	14-10-01 08:07:17	16-01-25 18:21:17	1	0	0.286490089
1029	1000	2	"low, under"	bajo 	14-10-01 08:07:52	16-01-25 18:21:52	1	0	0.70509581
1030	1000	2	"I, me"	"yo, me "	14-10-01 08:07:64	16-01-25 18:21:64	1	0	0.302858308
1031	1000	2	to be able	poder 	14-10-01 08:07:43	16-01-25 18:21:43	1	0	0.308871068
1032	1000	2	until	hasta 	14-10-01 08:07:227	16-01-25 18:21:227	1	0	0.395677489
1033	1000	2	to say	decir 	14-10-01 08:07:93	16-01-25 18:21:93	1	0	0.33164916
1034	1000	2	more	más 	14-10-01 08:07:155	16-01-25 18:21:155	1	0	0.073829029
1035	1000	2	man	hombre 	14-10-01 08:07:102	16-01-25 18:21:102	1	0	0.353210992
1036	1000	2	to give	dar 	14-10-01 08:07:137	16-01-25 18:21:137	1	0	0.029917068
1037	1000	2	to work	trabajar 	14-10-01 08:07:94	16-01-25 18:21:94	1	0	0.414688878
1038	1000	2	and	y 	14-10-01 08:07:119	16-01-25 18:21:119	1	0	0.645139037
1039	1000	2	"like, as"	como 	14-10-01 08:07:48	16-01-25 18:21:48	1	0	0.456513762
1040	1000	2	if	si 	14-10-01 08:07:57	16-01-25 18:21:57	1	0	0.474132606
1041	1000	2	never	nunca 	14-10-01 08:07:7	16-01-25 18:21:7	1	0	0.931918099
1042	1000	2	"to wear, to carry"	llevar 	14-10-01 08:07:80	16-01-25 18:21:80	1	0	0.477468396
1043	1000	2	to know	saber 	14-10-01 08:07:182	16-01-25 18:21:182	1	0	0.886159786
1044	1000	2	indirect-object pronoun	le 	14-10-01 08:07:104	16-01-25 18:21:104	1	0	0.509843194
1045	1000	2	where	donde 	14-10-01 08:07:49	16-01-25 18:21:49	1	0	0.519126808
1046	1000	2	to walk	andar 	14-10-01 08:07:89	16-01-25 18:21:89	1	0	0.520037294
1047	1000	2	always	siempre 	14-10-01 08:07:81	16-01-25 18:21:81	1	0	0.522318131
1048	1000	2	to read	leer 	14-10-01 08:07:56	16-01-25 18:21:56	1	0	0.701696176
1049	1000	2	"boy, girl"	"chico, chica "	14-10-01 08:07:55	16-01-25 18:21:55	1	0	0.546392742
1050	1000	2	to see	ver 	14-10-01 08:07:73	16-01-25 18:21:73	1	0	0.549478733
1051	1000	2	"to take out, to remove"	sacar 	14-10-01 08:07:86	16-01-25 18:21:86	1	0	0.553349094
1052	1000	2	to leave	salir 	14-10-01 08:07:254	16-01-25 18:21:254	1	0	0.903094868
1053	1000	2	"for, by"	por 	14-10-01 08:07:191	16-01-25 18:21:191	1	0	0.660773113
1054	1000	2	"""well"" as an adverb"	bien 	14-10-01 08:07:38	16-01-25 18:21:38	1	0	0.577117643
1055	1000	2	to throw	echar 	14-10-01 08:07:91	16-01-25 18:21:91	1	0	0.64487415
1056	1000	2	"for, to"	para 	14-10-01 08:07:32	16-01-25 18:21:32	1	0	0.652586351
1057	1000	2	to love	amar 	14-10-01 08:07:146	16-01-25 18:21:146	1	0	0.116359082
1058	1000	2	hello	hola 	14-10-01 08:07:41	16-01-25 18:21:41	1	0	0.670387118
1059	1000	2	to begin	empezar 	14-10-01 08:07:218	16-01-25 18:21:218	1	0	0.047693074
1060	1000	2	or	o 	14-10-01 08:07:58	16-01-25 18:21:58	1	0	0.675451959
1061	1000	2	"he, she, they"	"él, ella, ellos, ellas "	14-10-01 08:07:83	16-01-25 18:21:83	1	0	0.678941493
1062	1000	2	"big, great"	"grande, gran "	14-10-01 08:07:66	16-01-25 18:21:66	1	0	0.693337937
1063	1000	2	because	porque 	14-10-01 08:07:34	16-01-25 18:21:34	1	0	0.728975783
1064	1000	2	you	tú 	14-10-01 08:07:25	16-01-25 18:21:25	1	0	0.866959263
1065	1000	2	you	usted 	14-10-01 08:07:68	16-01-25 18:21:68	1	0	0.734929873
1066	1000	2	to come	venir 	14-10-01 08:07:33	16-01-25 18:21:33	1	0	0.757709131
1067	1000	2	during	durante 	14-10-01 08:07:65	16-01-25 18:21:65	1	0	0.208367666
1068	1000	2	"to listen, to listen to"	escuchar 	14-10-01 08:07:101	16-01-25 18:21:101	1	0	0.771848466
1069	1000	2	please	por favor 	14-10-01 08:07:21	16-01-25 18:21:21	1	0	0.833424373
1070	1000	2	much	mucho 	14-10-01 08:07:70	16-01-25 18:21:70	1	0	0.21248066
1071	1000	2	to be pleasing	gustar 	14-10-01 08:07:44	16-01-25 18:21:44	1	0	0.841076416
1072	1000	2	used in making comparisons	"tanto, tan "	14-10-01 08:07:77	16-01-25 18:21:77	1	0	0.848720131
1073	1000	2	same	mismo 	14-10-01 08:07:61	16-01-25 18:21:61	1	0	0.849855868
1074	1000	2	the	"el, la, los, las "	14-10-01 08:07:20	16-01-25 18:21:20	1	0	0.6511049
1075	1000	2	yes	sí 	14-10-01 08:07:164	16-01-25 18:21:164	1	0	0.751372905
1076	1000	2	country	país 	14-10-01 08:07:38	16-01-25 18:21:38	1	0	0.485740615
1077	1000	2	now	ahora 	14-10-01 08:07:26	16-01-25 18:21:26	1	0	0.883830067
1078	1000	2	before	antes 	14-10-01 08:07:245	16-01-25 18:21:245	1	0	0.804629864
1079	1000	2	to have	haber 	14-10-01 08:07:110	16-01-25 18:21:110	1	0	0.967180277
1080	1000	2	woman	mujer 	14-10-01 08:07:11	16-01-25 18:21:11	1	0	0.783299279
1081	1000	2	"we, us"	nosotros 	14-10-01 08:07:2	16-01-25 18:21:2	1	0	0.358645845
1082	1000	2	very	muy 	14-10-01 08:07:16	16-01-25 18:21:16	1	0	0.362137546
1083	1000	2	also	también 	14-10-01 08:07:96	16-01-25 18:21:96	1	0	0.92146216
1084	1000	2	"on, in"	en 	14-10-01 08:07:47	16-01-25 18:21:47	1	0	0.35274003
1085	1000	2	"itself, herself, himself, themselves"	se 	14-10-01 08:07:52	16-01-25 18:21:52	1	0	0.926448503
1086	1000	2	hour; see also lesson on telling time	hora 	14-10-01 08:07:71	16-01-25 18:21:71	1	0	0.940926867
1087	1000	2	"to have, to possess"	tener 	14-10-01 08:07:173	16-01-25 18:21:173	1	0	0.529244115
1088	1000	2	"to want, to love"	querer 	14-10-01 08:07:40	16-01-25 18:21:40	1	0	0.967720667
1089	1000	2	almost	casi 	14-10-01 08:07:46	16-01-25 18:21:46	1	0	0.971208883
1090	1000	2	but	pero 	14-10-01 08:07:34	16-01-25 18:21:34	1	0	0.484642125
1091	1000	2	"between, among"	entre 	14-10-01 08:07:74	16-01-25 18:21:74	1	0	0.777773698
1092	1000	2	goodbye	adiós 	14-10-01 08:07:97	16-01-25 18:21:97	1	0	0.049954368
1093	1000	2	to be	estar 	14-10-01 08:07:61	16-01-25 18:21:61	1	0	0.541554376
2000	2000	2	Colors		14-10-01 08:07:263	16-01-25 18:21:263	1	0	0.529369667
2001	2000	2	yellow	amarillo	14-10-01 08:07:272	16-01-25 18:21:272	1	0	0.881178988
2002	2000	2	black	negro	14-10-01 08:07:326	16-01-25 18:21:326	1	0	0.113302877
2003	2000	2	brown	marrón	14-10-01 08:07:317	16-01-25 18:21:317	1	0	0.30872106
2004	2000	2	red	rojo	14-10-01 08:07:344	16-01-25 18:21:344	1	0	0.74015292
2005	2000	2	white	blanco	14-10-01 08:07:299	16-01-25 18:21:299	1	0	0.765839924
2006	2000	2	grey	gris	14-10-01 08:07:308	16-01-25 18:21:308	1	0	0.614330975
2007	2000	2	orange	anaranjado	14-10-01 08:07:281	16-01-25 18:21:281	1	0	0.769367175
2008	2000	2	pink	rosado	14-10-01 08:07:353	16-01-25 18:21:353	1	0	0.815483173
2009	2000	2	brown	pardo	14-10-01 08:07:335	16-01-25 18:21:335	1	0	0.449391898
2010	2000	2	blue	azul	14-10-01 08:07:290	16-01-25 18:21:290	1	0	0.679471373
2011	2000	2	green	verde	14-10-01 08:07:362	16-01-25 18:21:362	1	0	0.641201045
3000	NULL	2	Family and Relations		14-10-01 08:07:5249	16-01-25 18:21:5249	1	0	0.331726098
3001	3000	2	husband	el marido	14-10-01 08:07:488	16-01-25 18:21:488	1	0	0.070357579
3002	3000	2	cousin	el primo	14-10-01 08:07:398	16-01-25 18:21:398	1	0	0.532635544
3003	3000	2	widower	el viudo	14-10-01 08:07:641	16-01-25 18:21:641	1	0	0.007367436
3004	3000	2	brother	el hermano	14-10-01 08:07:380	16-01-25 18:21:380	1	0	0.431758412
3005	3000	2	widow	la viuda	14-10-01 08:07:632	16-01-25 18:21:632	1	0	0.495395448
3006	3000	2	divorced	divorciado	14-10-01 08:07:425	16-01-25 18:21:425	1	0	0.086428751
3007	3000	2	grandchild	el nieto	14-10-01 08:07:452	16-01-25 18:21:452	1	0	0.548594017
3008	3000	2	aunt	la tía	14-10-01 08:07:371	16-01-25 18:21:371	1	0	0.462131387
3009	3000	2	father	el padre	14-10-01 08:07:434	16-01-25 18:21:434	1	0	0.469334244
3010	3000	2	son-in-law	el yerno	14-10-01 08:07:587	16-01-25 18:21:587	1	0	0.199942203
3011	3000	2	parents	los padres	14-10-01 08:07:551	16-01-25 18:21:551	1	0	0.770031602
3012	3000	2	brother-in-law	el cuñado	14-10-01 08:07:389	16-01-25 18:21:389	1	0	0.604755117
3013	3000	2	grandmother	la abuela	14-10-01 08:07:479	16-01-25 18:21:479	1	0	0.291216414
3014	3000	2	stepmother	la madrastra	14-10-01 08:07:614	16-01-25 18:21:614	1	0	0.741535079
3015	3000	2	grandfather	el abuelo	14-10-01 08:07:470	16-01-25 18:21:470	1	0	0.013415592
3016	3000	2	father-in-law	el suegro	14-10-01 08:07:443	16-01-25 18:21:443	1	0	0.50698791
3017	3000	2	sister	la hermana	14-10-01 08:07:560	16-01-25 18:21:560	1	0	0.483720729
3018	3000	2	son	el hijo	14-10-01 08:07:578	16-01-25 18:21:578	1	0	0.391648357
3019	3000	2	married	casado	14-10-01 08:07:497	16-01-25 18:21:497	1	0	0.18180336
3020	3000	2	niece	la sobrina	14-10-01 08:07:533	16-01-25 18:21:533	1	0	0.07914428
3021	3000	2	stepfather	el padrastro	14-10-01 08:07:605	16-01-25 18:21:605	1	0	0.775402018
3022	3000	2	wife	la mujer	14-10-01 08:07:650	16-01-25 18:21:650	1	0	0.772141475
3023	3000	2	sister-in-law	la cuñada	14-10-01 08:07:569	16-01-25 18:21:569	1	0	0.295797573
3024	3000	2	mother-in-law	la suegra	14-10-01 08:07:515	16-01-25 18:21:515	1	0	0.482859615
3025	3000	2	orphan	(el) huérfano	14-10-01 08:07:542	16-01-25 18:21:542	1	0	0.483598508
