id	question_id	answer	description	type	status
1	1	no		0	0
2	1	yes		0	0
3	2	no		0	0
4	2	yes		0	0
5	3	no		0	0
6	3	yes		0	0
7	4	no		0	0
8	4	yes		0	0
9	5	no		0	0
10	5	yes		0	0
11	6	no		0	0
12	6	yes		0	0
13	7	no		0	0
14	7	yes		0	0
15	8	no		0	0
16	8	yes		0	0
17	9	no		0	0
18	9	yes		0	0
19	10	no		0	0
20	10	yes		0	0
21	11	no		0	0
22	11	yes		0	0
23	12	no		0	0
24	12	yes		0	0
25	13	no		0	0
26	13	yes		0	0
27	14	no		0	0
28	14	yes		0	0
29	15	no		0	0
30	15	yes		0	0
31	16	no		0	0
32	16	yes		0	0
33	17	no		0	0
34	17	yes		0	0
35	18	no		0	0
36	18	yes		0	0
37	19	no		0	0
38	19	yes		0	0
39	20	no		0	0
40	20	yes		0	0
41	21	no		0	0
42	21	yes		0	0
43	22	no		0	0
44	22	yes		0	0
45	23	no		0	0
46	23	yes		0	0
47	24	no		0	0
48	24	yes		0	0
49	25	no		0	0
50	25	yes		0	0
51	26	no		0	0
52	26	yes		0	0
53	27	no		0	0
54	27	yes		0	0
55	28	no		0	0
56	28	yes		0	0
57	29	no		0	0
58	29	yes		0	0
59	30	no		0	0
60	30	yes		0	0
61	31	no		0	0
62	31	yes		0	0
63	32	no		0	0
64	32	yes		0	0
65	33	no		0	0
66	33	yes		0	0
67	34	no		0	0
68	34	yes		0	0
69	35	no		0	0
70	35	yes		0	0
71	36	no		0	0
72	36	yes		0	0
73	37	no		0	0
74	37	yes		0	0
75	38	no		0	0
76	38	yes		0	0
77	39	no		0	0
78	39	yes		0	0
79	40	no		0	0
80	40	yes		0	0
81	41	no		0	0
82	41	yes		0	0
83	42	no		0	0
84	42	yes		0	0
85	43	no		0	0
86	43	yes		0	0
87	44	no		0	0
88	44	yes		0	0
89	45	no		0	0
90	45	yes		0	0
91	46	no		0	0
92	46	yes		0	0
93	47	no		0	0
94	47	yes		0	0
95	48	no		0	0
96	48	yes		0	0
97	49	no		0	0
98	49	yes		0	0
99	50	no		0	0
100	50	yes		0	0
101	51	no		0	0
102	51	yes		0	0
103	52	no		0	0
104	52	yes		0	0
105	53	no		0	0
106	53	yes		0	0
107	54	no		0	0
108	54	yes		0	0
109	55	no		0	0
110	55	yes		0	0
111	56	no		0	0
112	56	yes		0	0
113	57	no		0	0
114	57	yes		0	0
115	58	no		0	0
116	58	yes		0	0
117	59	no		0	0
118	59	yes		0	0
119	60	no		0	0
120	60	yes		0	0
121	61	no		0	0
122	61	yes		0	0
123	62	no		0	0
124	62	yes		0	0
125	63	no		0	0
126	63	yes		0	0
127	64	no		0	0
128	64	yes		0	0
129	65	no		0	0
130	65	yes		0	0
131	66	no		0	0
132	66	yes		0	0
133	67	no		0	0
134	67	yes		0	0
135	68	no		0	0
136	68	yes		0	0
137	69	no		0	0
138	69	yes		0	0
139	70	no		0	0
140	70	yes		0	0
141	71	no		0	0
142	71	yes		0	0
143	72	no		0	0
144	72	yes		0	0
145	73	no		0	0
146	73	yes		0	0
147	74	no		0	0
148	74	yes		0	0
149	75	no		0	0
150	75	yes		0	0
151	76	no		0	0
152	76	yes		0	0
153	77	no		0	0
154	77	yes		0	0
155	78	no		0	0
156	78	yes		0	0
157	79	no		0	0
158	79	yes		0	0
159	80	no		0	0
160	80	yes		0	0
161	81	no		0	0
162	81	yes		0	0
163	82	no		0	0
164	82	yes		0	0
165	83	no		0	0
166	83	yes		0	0
167	84	no		0	0
168	84	yes		0	0
169	85	no		0	0
170	85	yes		0	0
171	86	no		0	0
172	86	yes		0	0
173	87	no		0	0
174	87	yes		0	0
175	88	no		0	0
176	88	yes		0	0
177	89	no		0	0
178	89	yes		0	0
179	90	no		0	0
180	90	yes		0	0
181	91	no		0	0
182	91	yes		0	0
183	92	no		0	0
184	92	yes		0	0
185	93	no		0	0
186	93	yes		0	0
187	94	no		0	0
188	94	yes		0	0
189	95	no		0	0
190	95	yes		0	0
191	96	no		0	0
192	96	yes		0	0
193	97	no		0	0
194	97	yes		0	0
195	98	no		0	0
196	98	yes		0	0
197	99	no		0	0
198	99	yes		0	0
199	100	no		0	0
200	100	yes		0	0
201	101	no		0	0
202	101	yes		0	0
203	102	no		0	0
204	102	yes		0	0
205	103	no		0	0
206	103	yes		0	0
207	104	no		0	0
208	104	yes		0	0
209	105	no		0	0
210	105	yes		0	0
211	106	no		0	0
212	106	yes		0	0
213	107	no		0	0
214	107	yes		0	0
215	108	no		0	0
216	108	yes		0	0
217	109	no		0	0
218	109	yes		0	0
219	110	no		0	0
220	110	yes		0	0
221	111	no		0	0
222	111	yes		0	0
223	112	no		0	0
224	112	yes		0	0
225	113	no		0	0
226	113	yes		0	0
227	114	no		0	0
228	114	yes		0	0
229	115	no		0	0
230	115	yes		0	0
231	116	no		0	0
232	116	yes		0	0
233	117	no		0	0
234	117	yes		0	0
235	118	no		0	0
236	118	yes		0	0
