 	parent_component_id	type_id	title	description	due	template_type_id	creator_id	component_picture_url	background_color	created_at	updated_at	level_id	privacy_id	order	status
1	NULL	11	Keeping my apartment clean all the time.	"I have had some surprise visits. I can imagine if I can either clean so fast that by the time the visitor arrives, it will be as clean to be mi casa es su casa. Or having a habit to keep it clean all the time."	0000-00-00 00:00:00	7001	2	apartment-1.jpg		0000-00-00 00:00:00	0000-00-00 00:00:00	2	10001	10001	0
4	62	11	Learn Spanish		0000-00-00 00:00:00	7001	2	spanish.jpg		0000-00-00 00:00:00	0000-00-00 00:00:00	3	10001	10011	0
5	7	11	Small Talks	"Small talks with stangers, anywhere in dfferent environment and scenario. "	0000-00-00 00:00:00	7001	1	2092.png		0000-00-00 00:00:00	0000-00-00 00:00:00	1	10002	1	0
6	NULL	11	Fashion Advice	"Advising on how to dress well, being a gentleman, clothes shopping and lots of savings"	0000-00-00 00:00:00	7001	2	fashion.jpg		0000-00-00 00:00:00	0000-00-00 00:00:00	1	10001	10001	0
7	NULL	11	Communication Skills	Mastering communication skills	0000-00-00 00:00:00	7001	2	communication.jpg		0000-00-00 00:00:00	0000-00-00 00:00:00	2	10001	100000	0
8	NULL	11	Leadership		0000-00-00 00:00:00	7001	1	leadership.jpg		0000-00-00 00:00:00	0000-00-00 00:00:00	3	10002	40000	0
9	22	11	Accent reduction		0000-00-00 00:00:00	7001	1	accent.jpg		0000-00-00 00:00:00	0000-00-00 00:00:00	3	10002	11000	0
10	NULL	11	Drawing	I used to like drawing with pencil and paper but somehow stopped.	0000-00-00 00:00:00	7001	2	2081.png		0000-00-00 00:00:00	0000-00-00 00:00:00	2	10001	1	0
11	NULL	11	Sushi Making	I have gained some skill of making sushi from scratch. I continue to improve by reading from different recipes.	0000-00-00 00:00:00	7001	2	2080.png		0000-00-00 00:00:00	0000-00-00 00:00:00	1	10001	1	0
13	NULL	11	"Excel, to be awesome in excel. It's hidden functions"	"Excel is one of my favorite software. I have gained so much knowledge and I want to share with the world. However, I am still way less to be an excel expert, so I want to learn from the community."	0000-00-00 00:00:00	7001	2	2091.png		0000-00-00 00:00:00	0000-00-00 00:00:00	2	10001	1	0
14	7	11	Communicate in a noisy area	"Starting a conversation with anyone, anywhere in dfferent environment and scenario. "	0000-00-00 00:00:00	7001	1	2092.png	md-yellow-50-bg	0000-00-00 00:00:00	0000-00-00 00:00:00	1	10002	1	0
15	7	11	Connection with people		0000-00-00 00:00:00	7001	1	2092.png		0000-00-00 00:00:00	0000-00-00 00:00:00	1	10002	1	0
16	7	11	Conversation starter	"Starting a conversation with anyone, anywhere in dfferent environment and scenario. "	0000-00-00 00:00:00	7001	1	2092.png		0000-00-00 00:00:00	0000-00-00 00:00:00	1	10002	1	0
17	7	11	Listen		0000-00-00 00:00:00	7001	1	2092.png		0000-00-00 00:00:00	0000-00-00 00:00:00	1	10002	1	0
18	NULL	11	Pay attention to non-verbal communication		0000-00-00 00:00:00	7001	1	communication-1.jpg		0000-00-00 00:00:00	0000-00-00 00:00:00	1	10002	1	0
20	NULL	11	Communicate		0000-00-00 00:00:00	7001	1	2092.png		0000-00-00 00:00:00	0000-00-00 00:00:00	1	10002	1	0
21	22	11	Choosing the right words		0000-00-00 00:00:00	7001	1	2092.png		0000-00-00 00:00:00	0000-00-00 00:00:00	1	10002	1	0
22	NULL	11	Speaking		0000-00-00 00:00:00	7001	1	2092.png		0000-00-00 00:00:00	0000-00-00 00:00:00	1	10002	1	0
24	NULL	11	Organizing my apartment	"I have had some surprise visits. I can imagine if I can either clean so fast that by the time the visitor arrives, it will be as clean to be mi casa es su casa. Or having a habit to keep it clean all the time."	0000-00-00 00:00:00	7001	2	apartment.jpg		0000-00-00 00:00:00	0000-00-00 00:00:00	2	10001	10001	0
25	NULL	11	Read an electric meter.		0000-00-00 00:00:00	7001	1	default.png		0000-00-00 00:00:00	0000-00-00 00:00:00	3	10002	1	0
26	NULL	11	Calculate your net worth		0000-00-00 00:00:00	7001	1	default.png		0000-00-00 00:00:00	0000-00-00 00:00:00	3	10002	1	0
27	NULL	11	Contest a billing error		0000-00-00 00:00:00	7001	1	default.png		0000-00-00 00:00:00	0000-00-00 00:00:00	3	10002	1	0
28	34	11	Negotiate medical bills		0000-00-00 00:00:00	7001	1	default.png		0000-00-00 00:00:00	0000-00-00 00:00:00	3	10002	1	0
29	NULL	11	Balance a checkbook		0000-00-00 00:00:00	7001	1	default.png		0000-00-00 00:00:00	0000-00-00 00:00:00	3	10002	1	0
30	NULL	11	Make a Household budget		0000-00-00 00:00:00	7001	1	default.png		0000-00-00 00:00:00	0000-00-00 00:00:00	3	10002	1	0
31	NULL	11	Money management		0000-00-00 00:00:00	7001	1	default.png		0000-00-00 00:00:00	0000-00-00 00:00:00	3	10002	1	0
32	9	11	Accent reduction - Pitch and Stress		0000-00-00 00:00:00	7002	1	default.png		0000-00-00 00:00:00	0000-00-00 00:00:00	3	10002	1	0
33	NULL	11	Team Building		0000-00-00 00:00:00	7001	1	default.png		0000-00-00 00:00:00	0000-00-00 00:00:00	3	10002	1	0
34	31	11	Negotiation		0000-00-00 00:00:00	7001	1	default.png		0000-00-00 00:00:00	0000-00-00 00:00:00	3	10002	1	0
35	8	11	Motivating		0000-00-00 00:00:00	7001	1	default.png		0000-00-00 00:00:00	0000-00-00 00:00:00	3	10002	1	0
36	NULL	11	Collaborating 		0000-00-00 00:00:00	7001	1	default.png		0000-00-00 00:00:00	0000-00-00 00:00:00	3	10002	1	0
37	31	11	Budgeting		0000-00-00 00:00:00	7001	1	default.png		0000-00-00 00:00:00	0000-00-00 00:00:00	0	10002	1	0
39	NULL	11	business		0000-00-00 00:00:00	7001	1	default.png		0000-00-00 00:00:00	0000-00-00 00:00:00	0	10002	1	0
41	NULL	11	Swimming	I can't imagine that I don't know how to swim. I am in California. Need help to start	0000-00-00 00:00:00	7001	3	swimming.jpg		0000-00-00 00:00:00	0000-00-00 00:00:00	3	10001	1	0
43	NULL	11	"Cooking, Grilling, Braaing "	"I have mastered making pork ribs and steak on the grill. Moreover, cooking a meal for my wife"	0000-00-00 00:00:00	7001	2	2088.png		0000-00-00 00:00:00	0000-00-00 00:00:00	1	10001	1	0
45	NULL	11	Improving Excel skills. Advanced features 	How I can use and integrate it to help in my data science field of study.	0000-00-00 00:00:00	7001	2	2084.png		0000-00-00 00:00:00	0000-00-00 00:00:00	2	10001	1	0
46	3	11	Handling a job Interview	Sometimes gets nervous for no reason. Then not selling my skills correctly.	0000-00-00 00:00:00	7001	2	interview.jpg		0000-00-00 00:00:00	0000-00-00 00:00:00	2	10001	1	0
48	NULL	11	Web Designing	"Web Designing using simpe tools. i.e. MS Word, MS Powerpoint, MS Visio."	0000-00-00 00:00:00	7001	2	2090.png		0000-00-00 00:00:00	0000-00-00 00:00:00	1	10001	1	0
49	NULL	11	Tell a Story that Captivates People's Attention	"Everyone has a cool story to tell, but have to work on the delivery and right audience."	0000-00-00 00:00:00	7001	2	communication.jpg		0000-00-00 00:00:00	0000-00-00 00:00:00	2	10001	1	0
50	NULL	11	Teamwork	I think I have gained some experience of being a good teammate. Open to new ideas from another teammate is the best thing of how to learn. But I want to continue improving this skill	0000-00-00 00:00:00	7001	2	2085.png		0000-00-00 00:00:00	0000-00-00 00:00:00	2	10001	1	0
51	NULL	11	Games - Chess	"I am not a grandmaster, but for now I am comfortable where I stand. "	0000-00-00 00:00:00	7001	2	default.png		0000-00-00 00:00:00	0000-00-00 00:00:00	1	10001	1	0
54	NULL	11	"Ms Powerpoint: designing icons, greeting cards and creative Powerpoints"	"To some, Photoshop is a default program to go when designing, but if you know deep MS PowerPoint features, you can  d wonderful things design. I have gained a huge amount of designing experience using MS PowerPoint and would like to share my random skills I have used in PowerPoint. Note, almost all the default customised pictures and icons in this application were made using MS PowerPoint."	0000-00-00 00:00:00	7001	2	2083.png		0000-00-00 00:00:00	0000-00-00 00:00:00	3	10001	1	0
55	NULL	11	Advising People	Want to improve on how I communicate with others. Not to overwhelm them when giving them advice.	0000-00-00 00:00:00	7001	2	2087.png		0000-00-00 00:00:00	0000-00-00 00:00:00	2	10001	1	0
56	NULL	11	Speaking Clearly	Improve how I speak English. Having more American accent might be desirable. Speaking clearly slowly and audible. Sometimes people have some hard times understanding me.	0000-00-00 00:00:00	7001	2	communication.jpg		0000-00-00 00:00:00	0000-00-00 00:00:00	2	10001	1	0
62	NULL	11	Learn a new language		0000-00-00 00:00:00	7001	1	default.png		0000-00-00 00:00:00	0000-00-00 00:00:00	2	10002	1	0
63	NULL	11	English pronunciation		0000-00-00 00:00:00	7001	1	default.png		0000-00-00 00:00:00	0000-00-00 00:00:00	2	10002	1	0
64	NULL	11	Games - Boggle	It is an intersting game to learn because it will improve my vocabulary.	0000-00-00 00:00:00	7001	2	2089.png		0000-00-00 00:00:00	0000-00-00 00:00:00	2	10001	1	0
65	NULL	11	Adventurous	Being creative when going out whether with friends and family or on dates. 	0000-00-00 00:00:00	7001	2	adventurous.jpg		0000-00-00 00:00:00	0000-00-00 00:00:00	3	10001	1	0
66	NULL	11	parallel park		0000-00-00 00:00:00	7002	1	default.png		0000-00-00 00:00:00	0000-00-00 00:00:00	0	10002	1	0
67	NULL	11	"enterprising: strong interest, great eagerness."		0000-00-00 00:00:00	7002	1	default.png		0000-00-00 00:00:00	0000-00-00 00:00:00	0	10002	1	0
68	NULL	11	florist		0000-00-00 00:00:00	7002	1	default.png		0000-00-00 00:00:00	0000-00-00 00:00:00	0	10002	1	0
69	NULL	11	working knowledge of visual basic		0000-00-00 00:00:00	7002	1	default.png		0000-00-00 00:00:00	0000-00-00 00:00:00	0	10002	1	0
70	NULL	11	real estate agency principal		0000-00-00 00:00:00	7002	1	default.png		0000-00-00 00:00:00	0000-00-00 00:00:00	0	10002	1	0
74	NULL	11	"persevering: steadfast pursuit to an aim, refusal to give up; continued effort."		0000-00-00 00:00:00	7002	1	default.png		0000-00-00 00:00:00	0000-00-00 00:00:00	0	10002	1	0
75	NULL	11	defining problems		0000-00-00 00:00:00	7002	1	default.png		0000-00-00 00:00:00	0000-00-00 00:00:00	0	10002	1	0
