id	parent_component_id	type_id	title	description	template_type_id	creator_id	component_picture_url	background_color_id	created_at	updated_at	level_id	privacy_id	order	status
1	NULL	2	"Keeping my apartment clean all the time."	"I have had some surprise visits. I can imagine if I can either clean so fast that by the time the visitor arrives, it will be as clean to be mi casa es su casa. Or having a habit to keep it clean all the time."	7001	2	apartment-1.jpg	0	"2014-12-06 19:43:00"	"2016-04-03 08:15:00"	2	10001	10001	0
2	NULL	6	"Learning Spanish"		7001	18	spanish.jpg	0	"2014-02-17 13:13:14"	"2016-04-02 11:42:40"	13	10001	1	0
3	NULL	9	"Career Advice"	"Communication skills, Listening well to a candidate, Providing constructive feedback. Recruited back in the days"	7001	4	800201.png	0	"2014-04-06 14:04:00"	"2016-03-31 19:38:00"	1	10001	10001	0
4	62	2	"Learn Spanish"		7001	2	spanish.jpg	0	"2014-02-17 13:13:19"	"2016-03-31 19:37:00"	3	10001	10011	0
5	7	2	"Small Talks"	"Small talks with stangers, anywhere in dfferent environment and scenario. "	7001	1	2092.png	0	"2014-09-20 01:51:01"	"2016-03-08 08:00:04"	1	10002	1	0
6	NULL	2	"Fashion Advice"	"Advising on how to dress well, being a gentleman, clothes shopping and lots of savings"	7001	2	fashion.jpg	0	"2014-12-18 22:24:00"	"2016-03-06 09:34:00"	1	10001	10001	0
7	NULL	2	"Communication Skills"	"Mastering communication skills"	7001	2	communication.jpg	0	"2014-09-20 01:51:01"	"2016-03-03 08:00:03"	2	10001	100000	0
8	NULL	2	Leadership		7001	1	leadership.jpg	0	"2014-02-17 13:13:00"	"2016-03-03 02:27:39"	3	10002	40000	0
9	22	2	"Accent reduction"		7001	1	accent.jpg	0	"2014-02-17 13:13:03"	"2016-03-01 02:27:30"	3	10002	11000	0
10	NULL	2	Drawing	"I used to like drawing with pencil and paper but somehow stopped."	7001	2	2081.png	0	"2014-11-23 07:29:00"	"2016-02-29 18:45:00"	2	10001	1	0
11	NULL	2	"Sushi Making"	"I have gained some skill of making sushi from scratch. I continue to improve by reading from different recipes."	7001	2	2080.png	0	"2014-05-15 21:01:00"	"2016-02-29 17:37:00"	1	10001	1	0
12	NULL	6	"Sushi Making"	"Showing my friend how to make sushi from scratch"	7001	14	500010.png	0	"2014-12-28 00:28:00"	"2016-02-29 17:08:00"	13	10001	1	0
13	NULL	2	"Excel, to be awesome in excel. It's hidden functions"	"Excel is one of my favorite software. I have gained so much knowledge and I want to share with the world. However, I am still way less to be an excel expert, so I want to learn from the community."	7001	2	2091.png	0	"2014-11-29 11:14:00"	"2016-02-09 22:53:00"	2	10001	1	0
14	7	2	"Communicate in a noisy area"	"Starting a conversation with anyone, anywhere in dfferent environment and scenario. "	7001	1	2092.png	0	"2014-09-20 01:51:01"	"2016-02-08 08:00:04"	1	10002	1	0
15	7	2	"Connection with people"		7001	1	2092.png	0	"2014-09-20 01:51:06"	"2016-02-08 08:00:03"	1	10002	1	0
16	7	2	"Conversation starter"	"Starting a conversation with anyone, anywhere in dfferent environment and scenario. "	7001	1	2092.png	0	"2014-09-20 01:51:00"	"2016-02-08 08:00:03"	1	10002	1	0
