id	activity_id	explorer_id	privacy	status
1	1	12000	0	0
2	100	12000	0	0
3	200	12000	0	0
4	300	12000	0	0
5	1	100012000	0	0
6	100	100012000	0	0
7	200	100012000	0	0
8	300	100012000	0	0
9	1000	100010106	0	0
10	2000	100010106	0	0
11	3000	100010106	0	0
12	4000	100010106	0	0
13	5000	100010106	0	0
14	6000	100010106	0	0
15	7000	100010106	0	0
16	8000	100010106	0	0
17	9000	100010106	0	0
18	10000	100010106	0	0
19	11000	100010106	0	0
20	12000	100010106	0	0
21	13000	100010106	0	0
22	14000	100010106	0	0
23	15000	100010106	0	0
24	16000	100010106	0	0
25	100000	100010102	0	0
