id	parent_explorer_id	explorer_id	size_x	size_y	location_x	location_y	status
1	2080	500001	2	2	0	0	
1000	2092	2094	2	2	0	0	
1001	2092	2095	2	2	2	2	
1002	2092	2075	2	2	2	0	
2000	2093	500202	2	2	0	0	
2001	2093	500201	2	2	0	0	
2002	2093	500200	2	2	0	0	
2003	2093	500002	2	2	0	0	
2004	2093	500008	2	2	0	0	
3000	2094	1100000	2	2	0	0	
3001	2094	1100002	2	2	0	0	
3002	2094	1100001	2	2	0	0	
4000	500001	500010	2	2	0	0	
4001	500001	500004	2	2	0	0	
5000	500002	500203	2	2	0	0	
5001	500002	500006	2	2	0	0	
6000	500003	500007	2	2	0	0	
6001	500003	500005	2	2	0	0	
7000	800201	500003	2	2	0	0	
7001	800201	2079	2	2	0	0	
