id	parent_plan_id	creator_id	objective_id	title	description	start_point	plan_length	color	created_date	updated_date	importance	status
1	NULL	2	1			300	500	E0AAAA	14-10-01 08:07:00	16-01-25 18:21:00	1	0
2	NULL	2	2			50	400	E0CEAA	14-10-01 08:07:01	16-01-25 18:21:01	1	0
3	NULL	2	3			0	300	E0CEFF	14-10-01 08:07:02	16-01-25 18:21:02	1	0
4	NULL	2	4			70	600	96B9B7	14-10-01 08:07:03	16-01-25 18:21:03	1	0
5	NULL	2	5			300	700	7295B7	14-10-01 08:07:04	16-01-25 18:21:04	1	0
6	NULL	2	6			500	500	B7977F	14-10-01 08:07:05	16-01-25 18:21:05	1	0
7	NULL	2	7			1000	500	96B9B8	14-10-01 08:07:06	16-01-25 18:21:06	1	0
8	NULL	2	8			700	550	7295B8	14-10-01 08:07:07	16-01-25 18:21:07	1	0
9	NULL	2	9			110	200	E0AAAA	14-10-01 08:07:08	16-01-25 18:21:08	1	0
10	NULL	2	10			411	300	E0CEAA	14-10-01 08:07:09	16-01-25 18:21:09	1	0
11	NULL	2	11			315	530	E0AAAA	14-10-01 08:07:10	16-01-25 18:21:10	1	0
12	NULL	2	12			1124	500	E0CEAA	14-10-01 08:07:11	16-01-25 18:21:11	1	0
