id	creator_id	friend_id	level_id	created_at	updated_at	status
1	2	3	5002			1
2	2	4	5002			1
3	2	5	5002			1
4	2	6	5002			1
5	2	7	5002			1
6	2	8	5001			1
7	2	9	5001			1
8	2	10	5001			1
9	2	11	5001			1
10	2	12	5001			1
11	2	13	5001			1
12	2	14	5001			1
13	2	15	5001			1
14	2	16	5001			1
15	2	17	5001			1
16	2	18	5001			1
17	2	19	5001			1
18	2	20	5001			1
19	3	2	5002			1
20	3	4	5002			1
21	3	5	5002			1
22	3	6	5002			1
23	3	7	5002			1
24	4	2	5002			1
25	4	3	5002			1
26	4	5	5002			1
27	4	6	5002			1
28	4	7	5002			1
29	5	2	5002			1
30	5	3	5002			1
31	5	4	5002			1
32	5	6	5002			1
33	5	7	5002			1
34	6	2	5002			1
35	6	3	5002			1
36	6	4	5002			1
37	6	5	5002			1
38	6	7	5002			1
39	7	2	5002			1
40	7	3	5002			1
41	7	4	5002			1
42	7	5	5002			1
43	7	6	5002			1
44	8	2	5001			1
45	9	2	5001			1
46	10	2	5001			1
47	10	12	5001			1
48	10	13	5001			1
49	10	16	5001			1
50	10	17	5001			1
51	11	2	5001			1
52	12	2	5001			1
53	12	10	5001			1
54	12	13	5001			1
55	12	16	5001			1
56	12	17	5001			1
57	12	19	5001			1
58	13	2	5001			1
59	13	10	5001			1
60	13	12	5001			1
61	13	14	5001			1
62	13	16	5001			1
63	13	17	5001			1
64	13	19	5001			1
65	13	20	5001			1
66	14	2	5001			1
67	14	13	5001			1
68	14	15	5002			1
69	15	2	5001			1
70	15	14	5002			1
71	16	2	5001			1
72	16	10	5001			1
73	16	12	5001			1
74	16	13	5001			1
75	16	17	5002			1
76	17	2	5001			1
77	17	12	5001			1
78	17	13	5001			1
79	17	16	5002			1
80	17	19	5001			1
81	17	20	5001			1
82	18	2	5001			1
83	19	2	5001			1
84	19	12	5001			1
85	19	13	5001			1
86	19	17	5001			1
87	19	20	5002			1
88	20	2	5001			1
89	20	13	5001			1
90	20	17	5001			1
91	20	19	5002			1
